Date,Price,Market Value,Realized Value
6/6/22,31483.35522,5.69814E+11,
6/5/22,29899.87769,5.68802E+11,4.49841E+11
6/4/22,29847.73307,5.65495E+11,4.49925E+11
6/3/22,29676.16541,5.79849E+11,4.5033E+11
6/2/22,30436.46343,5.67637E+11,4.50794E+11
6/1/22,29788.69391,6.05492E+11,4.51716E+11
5/31/22,31771.38938,6.04045E+11,4.52531E+11
5/30/22,31708.96695,5.6122E+11,4.52087E+11
5/29/22,29452.10953,5.52681E+11,4.5175E+11
5/28/22,29009.30151,5.44927E+11,4.51673E+11
5/27/22,28597.02982,5.55754E+11,4.51648E+11
5/26/22,29167.96454,5.62119E+11,4.52423E+11
5/25/22,29511.77479,5.64292E+11,4.52828E+11
5/24/22,29624.35924,5.53894E+11,4.53025E+11
5/23/22,29080.60191,5.76347E+11,4.53058E+11
5/22/22,30259.63325,5.60027E+11,4.53708E+11
5/21/22,29439.30335,5.554E+11,4.53604E+11
5/20/22,29163.24171,5.76559E+11,4.53687E+11
5/19/22,30281.17599,5.46089E+11,4.54351E+11
5/18/22,28673.35701,5.79002E+11,4.5473E+11
5/17/22,30412.4893,5.68227E+11,4.55451E+11
5/16/22,29832.78072,5.95855E+11,4.55751E+11
5/15/22,31292.53086,5.72134E+11,4.56241E+11
5/14/22,30048.70072,5.56566E+11,4.56097E+11
5/13/22,29245.75731,5.50889E+11,4.5532E+11
5/12/22,28959.38993,5.51701E+11,4.56174E+11
5/11/22,28975.80136,5.90334E+11,4.57259E+11
5/10/22,31012.79639,5.72172E+11,4.60108E+11
5/9/22,30072.93928,6.47647E+11,4.61069E+11
5/8/22,34027.02133,6.75042E+11,4.64042E+11
5/7/22,35450.77174,6.85103E+11,4.64546E+11
5/6/22,35997.0025,6.95523E+11,4.64738E+11
5/5/22,36547.03884,7.55134E+11,4.65192E+11
5/4/22,39678.47334,7.17802E+11,4.6604E+11
5/3/22,37724.77393,7.32967E+11,4.65616E+11
5/2/22,38518.41923,7.31922E+11,4.66248E+11
5/1/22,38474.80813,7.15828E+11,4.6689E+11
4/30/22,37623.65697,7.34563E+11,4.6678E+11
4/29/22,38588.32688,7.58315E+11,4.671E+11
4/28/22,39799.80594,7.46543E+11,4.67511E+11
4/27/22,39244.83524,7.25039E+11,4.67451E+11
4/26/22,38116.98843,7.69151E+11,4.67377E+11
4/25/22,40430.98658,7.50574E+11,4.68136E+11
4/24/22,39462.18292,7.50355E+11,4.68111E+11
4/23/22,39451.40169,7.55264E+11,4.68121E+11
4/22/22,39712.77301,7.69917E+11,4.68125E+11
4/21/22,40482.72941,7.8671E+11,4.68538E+11
4/20/22,41366.02942,7.89198E+11,4.67737E+11
4/19/22,41501.3797,7.7596E+11,4.67634E+11
4/18/22,40807.30059,7.54574E+11,4.67417E+11
4/17/22,39689.09277,7.67944E+11,4.6731E+11
4/16/22,40390.62799,7.71104E+11,4.67359E+11
4/15/22,40555.64288,7.59473E+11,4.67382E+11
4/14/22,39945.00042,7.82429E+11,4.67262E+11
4/13/22,41150.3549,7.61993E+11,4.66948E+11
4/12/22,40083.91278,7.51554E+11,4.66758E+11
4/11/22,39533.54311,8.01428E+11,4.66156E+11
4/10/22,42162.75786,8.12842E+11,4.66939E+11
4/9/22,42764.05682,8.03257E+11,4.67011E+11
4/8/22,42263.37052,8.25807E+11,4.66914E+11
4/7/22,43455.12215,8.20474E+11,4.67343E+11
4/6/22,43176.59712,8.64806E+11,4.67366E+11
4/5/22,45502.03196,8.85417E+11,4.6805E+11
4/4/22,46594.42098,8.81995E+11,4.68031E+11
4/3/22,46414.52735,8.70459E+11,4.67653E+11
4/2/22,45822.87734,8.79691E+11,4.67374E+11
4/1/22,46298.58833,8.64839E+11,4.6738E+11
3/31/22,45537.67,8.94326E+11,4.66853E+11
